Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
21.48,24.69316758803565,24.630214425738917,19.761212301642523,22.687703675453562,24.69316758803565,26.55469664771718,29.420331032738915,38.61,38.33859763443752,38.350243539021676,33.96234526658445,36.55773286355725,38.33859763443752,40.20173494031815,42.88870755571388
21.83,26.48044587929084,26.43461167061152,21.388764845978244,24.363905387553288,26.48044587929084,28.63386573861756,31.29880262754583,38.61,38.565344982544325,38.58350438745471,34.49025376368324,36.77865794263276,38.565344982544325,40.46190113061413,42.91003620322851
22.28,26.255033042812304,26.20962834513187,21.018985617139126,24.185080721443327,26.255033042812304,28.32980973065959,31.418226567682883,38.61,39.20444568273546,39.25332816278233,35.52213392097764,37.72530988477719,39.20444568273546,40.82388236139241,43.15097193900957
22.8,25.393991685367627,25.43128566347239,20.09334160324037,22.957826727552074,25.393991685367627,27.786380597461456,30.936944558535355,38.61,39.04187299743577,38.96710278605026,34.58491641786412,37.169115701683,39.04187299743577,40.76170255601575,43.299970412600516
46.75,28.10973746493966,28.16680258023713,22.530996646361,25.85071885508742,28.10973746493966,30.546478525027563,34.24930074858399,38.61,39.12315074987507,39.05713905478283,34.760259985491935,37.24773419243469,39.12315074987507,40.858286652268276,43.26568464470416
40.89,27.282382832505956,27.396538170806,21.386558793026104,24.91787884503926,27.282382832505956,30.03686625074559,33.31085932876876,38.61,39.1293260952694,39.15430523799404,34.61074673188668,37.33553899775522,39.1293260952694,40.99919992801506,43.566799871219416
27.11,27.080808509445575,27.2311290494061,20.586459737627877,24.565089542532405,27.080808509445575,30.11358639165873,33.747001138204126,38.61,37.864493121342676,37.92622970599676,33.4577055824362,36.050836102090585,37.864493121342676,39.771480459671324,42.4953321401189
22.99,25.095614284715612,25.16450544297629,18.501373538102662,22.27271677497864,25.095614284715612,27.970766104253855,31.97384166545304,38.61,35.997987102829576,36.090617477945585,31.997249375379955,34.226127430126695,35.997987102829576,37.85369405921878,40.6127597547191
22.38,27.524710520703948,27.512142030641847,21.15914352077955,24.71471240932526,27.524710520703948,30.20060828488503,33.915715003965786,38.61,36.57872949324529,36.44536968989275,32.19795618128819,34.63349535258298,36.57872949324529,38.23801785184787,40.61527864611642
23.61,28.366584185210524,28.253799843970118,21.229559157317794,25.666498966985003,28.366584185210524,31.148539864560277,34.807583186582306,38.61,36.60042960617071,36.48839880332044,32.238158202582206,34.87640510721799,36.60042960617071,38.23274914165974,40.37125134565956
23.76,28.342197361161094,28.492826448198386,21.982106932106934,25.32013447480144,28.342197361161094,31.475829571080595,35.54719107267334,38.61,36.62847640864331,36.6254279068261,32.541626125412684,34.91778151991518,36.62847640864331,38.37060277059878,40.45119943417765
23.76,27.871252829463764,27.868630237214308,20.59062549949514,24.869909122847773,27.871252829463764,30.91888760210803,35.032166569402,40.33,37.785755368518714,37.748796455984206,34.25228415928817,36.29071435827224,37.785755368518714,39.14162328288759,41.35144244801823
24.31,33.13127957476242,32.97617327996306,15.519305149962634,25.530716567964518,33.13127957476242,40.13551042279221,49.35229529239949,40.33,42.05278044624657,42.10799534356349,38.34420934782835,40.61741124627855,42.05278044624657,43.650432027705676,45.6771914488153
24.78,30.048985052152293,29.826658159148,12.998638183411629,23.115793655115795,30.048985052152293,36.813612456949954,45.45359299719396,40.33,40.8530316507341,40.79963408058259,37.43593549679373,39.53048568594906,40.8530316507341,42.14906004426692,43.96324103415162
28.97,25.39419231174071,25.852866572199535,8.960780969171434,18.69758251954292,25.39419231174071,32.79901603339227,43.97746881906831,40.33,42.166190599908646,42.14717585506516,38.82626679522267,40.85379592355628,42.166190599908646,43.534965967410635,45.47117476554569
31.17,29.331824166022358,29.17026310134298,12.615283942830047,22.084338511561896,29.331824166022358,36.28228246353706,45.67863638676704,40.33,43.268108455824276,43.2936169765727,40.16034273638596,41.88901348474671,43.268108455824276,44.60470718812947,46.646447681101094
31.26,26.600972604267554,26.966619403045293,9.43163449125177,19.753842051696324,26.600972604267554,34.05859527542229,45.20911011139678,40.33,42.846391974520444,42.86755788997033,39.850693897330004,41.495997292705255,42.846391974520444,44.1836355940264,45.902364542928595
28.96,29.864138714377276,29.716593853299262,8.35798814588901,20.83710444148616,29.864138714377276,38.19338371172998,51.03584096391859,40.33,42.69547741688423,42.650508967067594,39.746167165034215,41.409483019533425,42.69547741688423,43.85333304437333,45.62173137447666
23.21,28.931519098301493,28.690778339867656,4.744352865322298,19.10565692011164,28.931519098301493,38.35260120590556,52.7313009528756,40.33,41.93892381126918,41.999322831551495,38.947280073150225,40.62858030601898,41.93892381126918,43.30339532595811,45.17927337143102
24.78,23.561770544600193,23.65653576094972,0.43877249330107604,13.279639552953682,23.561770544600193,33.72217081891258,46.96016813436153,40.33,41.30371678062233,41.202277265700694,37.48790964439177,39.753535732339486,41.30371678062233,42.760500780740486,44.56490027942979
24.27,27.82789984891275,27.870774168837983,4.200707049721644,17.879047813950763,27.82789984891275,37.678939359349044,51.92910859771433,40.33,41.88685531848705,41.825414398710095,38.17546393843186,40.28690327214281,41.88685531848705,43.40830753368172,45.49665036025285
23.92,27.321436071492798,26.944514877449656,2.45741774268447,16.84830488415355,27.321436071492798,37.32399544959642,51.05256001078216,40.33,42.16247676928156,42.166205294300084,38.44505396354509,40.675010194908495,42.16247676928156,43.69141758276518,45.91305377506684
24.85,24.163392716920953,24.064746884651854,0.9392812491394125,14.130706534848514,24.163392716920953,33.551353562293436,48.650577653964774,40.33,42.19737052199656,42.159565893326175,38.21793449029319,40.45942828910583,42.19737052199656,43.76727001717388,45.997874823417256
36.08,24.84506489289538,25.291929495231862,1.5346284367369323,15.043591209082138,24.84506489289538,35.63084858115636,49.31442563881376,41.52,43.131945408414325,43.09546012657534,38.81742084857346,41.37102334569343,43.131945408414325,44.79269549816939,47.292109066559334
36.65,30.202072230098437,30.39328244267952,6.312548894281372,19.708975072418667,30.202072230098437,41.03188868522314,55.74979860619527,41.52,43.055062343458104,43.052783989865944,38.70702556654039,41.28744555704504,43.055062343458104,44.9322318104697,47.28914637529146
