Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
21.48,24.57249096273147,24.501045453102932,19.551022193778568,22.383608227872827,24.57249096273147,26.57979923200226,29.519340460975787,38.61,38.10957701907773,38.124704192996,33.43400041700479,36.131965459132516,38.10957701907773,40.10545591976734,42.830197822426086
21.83,26.232816094186866,26.225800655795823,20.56589696609674,23.95494412238918,26.232816094186866,28.599478286939515,31.579818306396835,38.61,38.2027649022448,38.34546442701103,33.64366538558465,36.455669930054995,38.2027649022448,40.301109735084296,43.19662199864585
22.28,26.27306217240915,26.161840081756498,20.515899143563175,23.887137750406616,26.27306217240915,28.40699332418204,31.58005864452356,38.61,39.354073108284,39.309290654311376,34.62097047735061,37.353866656365554,39.354073108284,41.19380452713659,44.03610062144868
22.8,25.39040397279075,25.32645140680492,19.565886514918624,22.985367006937338,25.39040397279075,27.659323822291974,31.098394586903787,38.61,38.98845464368211,38.97294712390603,34.26994978190071,37.02555646619407,38.98845464368211,40.915622869766736,43.531577288156875
46.75,28.181796876239552,28.02200897062867,21.424735255643707,25.46089358294835,28.181796876239552,30.723021908767493,34.214141155623025,38.61,38.90986527051612,38.80309040959483,33.895363097202356,36.808607876761116,38.90986527051612,40.844418431525156,43.3807209455226
40.89,27.160280466495482,27.38921196247468,21.05967585239633,24.710992300598342,27.160280466495482,30.30004193526867,33.910369929951095,38.61,39.00020660678439,39.09221262370623,34.32480785748342,37.045409208443985,39.00020660678439,41.0649195022609,44.1531948248093
27.11,27.101854340969595,27.05604670184719,20.2993856969465,24.0005086472772,27.101854340969595,30.089378673674034,33.93922956496684,38.61,37.67114099262484,37.68732940223372,32.989748451520164,35.814506998100626,37.67114099262484,39.750470931742996,42.18440563472505
22.99,24.912484790088406,24.950887177804518,17.96178592977639,22.04189988208018,24.912484790088406,27.61760108276156,31.918498630867507,38.61,35.706039248405304,35.831590913084504,30.932353335672655,33.79962142181819,35.706039248405304,37.82529751146372,41.01441123890894
22.38,27.058384099367863,27.203832577394248,20.020083689860247,24.172980084390787,27.058384099367863,30.280798218433837,34.54171582453805,38.61,36.285250388974575,36.30960965259266,31.631760447688045,34.200411997548784,36.285250388974575,38.33802846723438,41.22049614201511
23.61,28.118139004158074,28.083313309577044,20.991415275880183,25.177286494508508,28.118139004158074,30.964895915873925,35.5342784456376,38.61,36.42320831468935,36.357044711430845,31.946861961109903,34.584554637056115,36.42320831468935,38.08037229748355,40.66830102990821
23.76,28.101139575637987,28.17798209115379,20.702684353300054,24.870249219632797,28.101139575637987,31.433366650427672,35.94074479430079,38.61,36.283808290881005,36.235989369098725,31.751941266888906,34.45821100392277,36.283808290881005,38.04917005389608,40.715007074769176
23.76,27.597049292357983,27.767753789457736,20.48429585027676,24.697474989474586,27.597049292357983,31.041868765729376,35.18952513862037,40.33,37.65204307666656,37.61039336111411,33.68566602767315,35.84123097301392,37.65204307666656,39.3760404548086,41.65433962194545
24.31,32.14884984081761,31.88978194699783,14.493627670550314,24.3750374693484,32.14884984081761,39.190627725321335,49.27363820545505,40.33,41.94743881156883,41.92099904289187,37.92141615038613,40.33882381226039,41.94743881156883,43.47412890224575,45.87747583986511
24.78,28.86867984196276,29.396121698913912,12.397473122957944,21.79263300259072,28.86867984196276,36.56574711193676,48.5628994668135,40.33,40.67028233674154,40.60906967491093,36.68853813039819,39.0135958498965,40.67028233674154,42.25433898368691,44.453371291969994
28.97,25.540532949011833,25.437595241486903,7.415562865338609,18.367932825230525,25.540532949011833,32.2866651111571,43.22228241452483,40.33,42.156894761708344,42.076890320972836,38.3277094529866,40.67632553453267,42.156894761708344,43.49779442851718,45.535288255714725
31.17,28.98095286824696,28.497577044397293,9.586714985029994,21.05895270908809,28.98095286824696,35.92173746489402,46.51102131404805,40.33,42.84670817395286,42.86644115621639,39.294459411841444,41.463085276103,42.84670817395286,44.31086342683862,46.28213454983329
31.26,26.441326323042517,26.55165818382823,7.467679279242657,18.045696110522158,26.441326323042517,34.50742953806889,46.706561208732744,40.33,42.622832100754785,42.6539204894114,39.4065667654465,41.27051798417676,42.622832100754785,44.04076202921632,45.9013297960739
28.96,28.757084936179297,29.159924573682797,7.2301376560131985,19.373848072328258,28.757084936179297,39.15634138486824,53.101885615736364,40.33,42.68569026825419,42.573783051627345,39.04558416469013,41.160697540757795,42.68569026825419,43.93888308953068,46.00167071453447
23.21,28.286490914717717,28.184906570948073,1.040283601077716,17.596586124209296,28.286490914717717,38.03649639850633,55.2378452449115,40.33,41.814221433452296,41.77375459286265,38.34834022069048,40.340573038068364,41.814221433452296,43.07598214109162,45.18446445298418
24.78,22.097212435976815,22.374896435614303,-2.5430203908740165,12.163333401482703,22.097212435976815,33.36274455012463,47.170448107045004,40.33,41.17897682297852,41.22754094315038,37.41354079059274,39.61576367340284,41.17897682297852,42.82595167495629,45.13509272084619
24.27,26.18562143872589,25.96079990128583,1.6118621333919239,15.165158133141233,26.18562143872589,36.40124460599511,50.8137929991043,40.33,41.58082498609747,41.53306397690683,37.2047770320457,39.94987177131679,41.58082498609747,43.36235443164355,45.6230563004824
23.92,25.250501307744855,25.34123300335154,-0.42427547395868676,15.575241312436503,25.250501307744855,34.65828774641587,51.360034658997904,40.33,41.88261452784848,41.84011797234072,37.682297098975674,40.125155609982954,41.88261452784848,43.645381097002925,45.841887327809324
