Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
21.48,24.581265347884305,24.590018289377582,19.923035291737335,22.591876883798108,24.581265347884305,26.540270268785378,29.194012546001233,38.61,38.35120673865458,38.32830829953351,34.02937343132798,36.429784891860436,38.35120673865458,40.084288831975755,42.64690762442824
21.83,26.320017889826953,26.256151137160987,21.369065342649684,24.18473545665185,26.320017889826953,28.3109326685408,30.933602411101173,38.61,38.86598536354714,38.804671432969414,34.473204511788595,37.02564421640557,38.86598536354714,40.53755342038049,43.067831944304615
22.28,26.116291962541045,26.079153595954445,20.806621891699816,24.160599194445886,26.116291962541045,28.03052896231077,31.026521698885904,38.61,39.56476318114639,39.573404565468834,35.42053964110633,37.89045854135965,39.56476318114639,41.32454001091833,43.855025035486634
22.8,25.327035457192515,25.318259388246016,20.218491489546828,23.266567097637882,25.327035457192515,27.43278735583535,30.42582401228669,38.61,39.12951831958141,39.17677220379587,34.739622724950365,37.385543797972,39.12951831958141,41.05013649554729,43.309013416554905
46.75,28.151500202288677,28.156763240844228,22.711851200440037,25.58345249554047,28.151500202288677,30.48173677892235,33.86401200147463,38.61,39.337162259344964,39.25725280108789,35.01360659491574,37.42080309959559,39.337162259344964,41.03551809782253,43.30073475596116
40.89,27.779605409510204,27.504252956234577,21.459765718582567,25.153882142449504,27.779605409510204,29.96234764041389,32.950349838634025,38.61,39.5717658676463,39.58051131919311,35.49503862397798,37.84020568016989,39.5717658676463,41.25838495954423,44.13562997977327
27.11,27.169563893331656,27.313430625494686,20.98233052401406,24.76144710091677,27.169563893331656,29.988027391565836,33.5200836827224,38.61,37.9843727411171,37.93579572628313,33.87732911016601,36.106381602546776,37.9843727411171,39.68372202356527,42.251229638278645
22.99,25.037244889829314,25.294411233169445,18.606448031250384,22.57983532654999,25.037244889829314,27.878897874535042,31.98564938059171,38.61,36.279126943164925,36.26590961563357,31.872111859442725,34.46022032915715,36.279126943164925,38.089511771515205,40.67533206459492
22.38,27.56177157495596,27.603792548349613,20.880435908545252,24.72374419099591,27.56177157495596,30.489852447481283,34.18309045523839,38.61,36.660665287595776,36.6691048485597,32.66122564967861,34.954980416379414,36.660665287595776,38.29039597385666,40.694052769011826
23.61,28.527342416193207,28.381613206123852,21.3807792706187,25.74435286218393,28.527342416193207,31.17453342990713,34.94541408226665,38.61,36.7102248369177,36.646692850571355,32.83575220978441,34.85477716867355,36.7102248369177,38.36133265616643,40.66714784175746
23.76,28.84439377480978,28.542077038321523,21.230583504838823,25.625226466436025,28.84439377480978,31.4053303656495,35.44034034415486,38.61,36.62155083412814,36.62444245720856,32.765522906065925,35.05894706555783,36.62155083412814,38.194153334991384,40.30946718993609
23.76,27.72466604366017,27.820661383166172,20.72900335458126,25.022521721251607,27.72466604366017,30.808357060947344,34.67298657329355,40.33,37.95433987912,37.97109440995695,34.31785081094149,36.46076162899434,37.95433987912,39.56537404977699,41.66115344316413
24.31,32.735925055728806,32.92520119515443,16.233627905111746,26.18130437957072,32.735925055728806,39.571155803248786,50.13613337359342,40.33,42.088147873990025,42.15399951057958,38.675182702755976,40.72609043307193,42.088147873990025,43.625824476443825,45.66780240721327
24.78,30.033498744843023,30.110769123557013,13.18425041943433,23.275107026362065,30.033498744843023,37.42826585560272,46.52288353448604,40.33,40.76855537550114,40.81584195208804,37.49869892679803,39.470510590186386,40.76855537550114,42.18630547787887,44.130618970718395
28.97,26.733314928784424,26.54906847208471,10.395995612005391,20.055511326105574,26.733314928784424,33.140191628317474,42.25477431543165,40.33,42.120390059863105,42.13462788392511,38.924785844758276,40.852426648396744,42.120390059863105,43.45269344708521,45.18154980114088
31.17,29.403532898566908,29.194167195522255,11.632755117066791,22.06910018862459,29.403532898566908,36.85322550931426,46.090026234279634,40.33,43.304594268738285,43.30588761079703,40.29905507038589,41.97092090594373,43.304594268738285,44.55690764507506,46.427438305659265
31.26,27.322981628301136,27.57648575454478,10.52936077123186,20.541193043855174,27.322981628301136,34.38979067132561,46.1810607991728,40.33,42.99349818346257,42.98556297846918,39.96607184880297,41.81053617464074,42.99349818346257,44.17847069588592,45.89199596840697
28.96,29.748615130995987,30.00339617836393,7.1618787930953545,21.225082658596733,29.748615130995987,38.66245222017928,52.03797158048474,40.33,42.77356748258518,42.738754486099815,39.680944810120636,41.49567385381931,42.77356748258518,43.97971537074524,45.668902886772784
23.21,29.562106344592195,29.265677462686284,6.084957292126194,19.826722148474232,29.562106344592195,38.43906674091657,52.382273367190955,40.33,42.06714342597713,42.08881698061021,39.19958536005807,40.76300076749402,42.06714342597713,43.35122843394682,45.15275322941051
24.78,23.97148570846852,23.929859090243394,1.6691194866454009,14.446514020542963,23.97148570846852,33.140095075684165,47.260329802943204,40.33,41.32231619927652,41.271942643470595,37.68055004599991,39.915785648019096,41.32231619927652,42.77218789252612,44.6380757304151
24.27,27.693652739668522,27.873211131339723,5.105601070690705,18.01367605208634,27.693652739668522,37.17084624622125,50.827850566986534,40.33,41.8930702399316,41.88462640465252,38.258829325301214,40.32885793152582,41.8930702399316,43.38070110029152,45.54737986362725
23.92,26.334857692058023,26.671020170544598,4.118289780106637,17.05139134753179,26.334857692058023,36.4657332633432,50.212777855661756,40.33,42.38719983891148,42.23732580001035,38.44740345303726,40.72923595849926,42.38719983891148,43.83719158892744,45.935809539255594
24.85,24.147972255136665,24.478606136120767,1.9129154702043263,14.640318456831665,24.147972255136665,34.51631039834538,47.527741175266556,40.33,42.21854434795364,42.17245803989589,38.004022270623935,40.484079451923606,42.21854434795364,43.91875226175,46.172620922501565
36.08,25.104071240952393,25.125246540368376,-0.11191240900292285,15.435822065351516,25.104071240952393,35.65736954424091,49.654748862730415,41.52,43.18642640222664,43.229418671391045,39.40274280649682,41.59194006851938,43.18642640222664,44.94593189776123,47.138944965448424
36.65,31.79241020391816,31.45041365636456,7.085858371310588,21.44874703870856,31.79241020391816,41.5730519671871,54.69129470620579,41.52,43.130068485999885,43.09023597843347,38.90653369190158,41.426235174539215,43.130068485999885,44.81184369864444,47.33789945996559
35.95,28.402573735787712,28.819161919164017,4.9698972025351855,18.19297629009702,28.402573735787712,38.999670843786134,54.096681923204095,41.52,42.424372992999125,42.33840048198793,37.82689468993271,40.62864263840366,42.424372992999125,44.130442137133606,46.72871376066058
35.91,25.59885249528594,25.94642862665558,1.7119323796575836,16.42267869734897,25.59885249528594,36.47481073939349,51.296744406508964,41.52,42.707045828754076,42.72736770111847,38.27219320852819,40.79392046635915,42.707045828754076,44.60812696824718,47.1893296307401
36.43,27.104540516212296,27.144924620159202,1.4462213088276605,17.48586488106571,27.104540516212296,37.36255793027211,50.42956305129951,41.52,44.00325295225332,44.150886666000346,38.86049855326877,41.978861579875144,44.00325295225332,46.40154121758886,49.40097398347507
36.46,35.582780312799784,35.33591883562571,10.324447600937305,25.03359519695546,35.582780312799784,46.34647460914056,59.76889980385684,41.52,45.22483959203671,45.13418845482206,39.57086844634306,42.7283146337524,45.22483959203671,47.50800808057293,50.60858404619423
