Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
41.62,42.68872160839015,42.8791800747566,34.89611593855427,38.97222910570716,42.68872160839015,46.540903775174314,51.54062021800081,78.64,44.241947707951226,44.33569982309389,39.35056373416186,42.17358986867731,44.241947707951226,46.48539694143294,49.703366385155796
41.26,46.359674260327154,46.42617093009693,38.009652529592046,42.885199681617316,46.359674260327154,50.298905276544815,54.985873650328216,78.64,46.978346579473225,46.92592275582049,41.348942497327386,44.625450962878304,46.978346579473225,49.25991761768393,52.28381142367971
41.76,46.58568765687974,46.3216844154515,37.32083273893395,42.576569936595696,46.58568765687974,50.08369233669774,55.04716923022585,78.64,46.584766293475354,46.5616852617483,41.2211363803002,44.46334583173176,46.584766293475354,48.75127297804735,51.898911693412764
42.75,44.000035093304206,44.22951668139085,35.77707329146246,40.57973285381341,44.000035093304206,48.09565736075338,53.033817373230384,78.64,49.35828417870934,49.36481354783912,43.99974320691725,47.09381849145099,49.35828417870934,51.61986733925546,54.81968092449782
42.83,40.12241394587407,40.21637856151487,31.8544693267338,36.48334685509279,40.12241394587407,43.8053785660089,49.19512081391919,78.64,46.463109744253046,46.51939467564775,41.14607712748292,44.32039313074199,46.463109744253046,48.65343057477429,52.00516655977172
42.91,38.25683651934378,38.18098570474836,28.64813116829391,34.47223271714165,38.25683651934378,41.72156863188786,47.27657094707674,78.64,52.6517932749843,52.75969407054534,47.26392923259279,50.422747325627334,52.6517932749843,55.085061976415304,58.48502357731451
41.96,38.88439971852582,38.84389391179416,28.89222274672908,35.26141115762759,38.88439971852582,42.55852500886134,48.56344889546398,78.64,55.124058615033,55.08032568483082,49.57683332526294,52.75495265900029,55.124058615033,57.314648687088976,60.692489633673006
43.66,42.90008821236886,43.05388118152731,34.04153123272336,39.42077767881689,42.90008821236886,46.96257548863912,51.82227200212086,78.64,53.17352259392737,53.08009090927398,47.6426592859842,50.93635750564147,53.17352259392737,55.2742632732387,58.40329472463507
49.99,50.198356439236136,50.183390372100106,41.13007440556367,46.501460643288794,50.198356439236136,53.90808153881568,58.808928057897795,78.64,49.75814020186556,49.79528998755088,44.577765785574684,47.82047981316532,49.75814020186556,51.7127088897948,55.15056848052433
39.44,46.620068049148415,46.77578235458402,37.301080162627414,43.19413042196753,46.620068049148415,50.55853476775792,56.20790629672459,102.51,48.047259156683765,47.88741091601078,42.520385750224555,45.5796179374299,48.047259156683765,50.072311795355205,53.18948894257004
41.19,45.52867567531554,45.40938008325901,36.047413148460336,41.62741398606083,45.52867567531554,49.3190142922667,54.258586474391734,102.51,51.00339610806394,51.04239675120384,45.79673517789325,48.91982744668569,51.00339610806394,53.23172049494639,56.31952430400813
43.72,46.95714949638739,46.69887199329725,37.36898101531648,42.90755009421681,46.95714949638739,50.570438334629955,55.756970457731654,102.51,52.79868261685557,52.69895618200801,47.289176810163184,50.41208048925077,52.79868261685557,54.9796038233678,57.833713182724445
42.48,44.596796828930856,44.55974311302172,34.974753600255156,40.45403209872743,44.596796828930856,48.52437052990092,54.00117612250179,102.51,57.4394787575606,57.48489359190504,52.439456709164716,55.31544221370281,57.4394787575606,59.56139442198429,62.76366213352604
