Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
46.53,23.97816837336908,24.086999619217973,19.771818007764672,22.42356215110445,23.97816837336908,25.829763411134877,28.291723905550654,38.61,36.45303502470043,36.39410771221317,31.396070065182016,34.396415952695634,36.45303502470043,38.44346367084768,41.10772009815008
21.48,24.603756051252255,24.594714656190128,19.596707799420063,22.44443627707841,24.603756051252255,26.756746987859955,29.322596736702565,38.61,37.996528632069385,37.91086750904972,33.00795197296539,36.04636934583141,37.996528632069385,39.775007277199165,42.472834996478376
21.83,26.244789610035774,26.30525754690531,21.195498118947672,24.199537160881874,26.244789610035774,28.534311046080973,31.111311535059727,38.61,38.45940043612487,38.37660676723658,33.81915097039223,36.47132808004619,38.45940043612487,40.37781034340736,42.883760765602034
22.28,26.2064602055903,26.16119877428266,20.70791860385366,23.934665415237724,26.2064602055903,28.40516489386226,31.38463730137057,38.61,39.11111022920586,39.15670736981982,34.57567213520878,37.141256679775,39.11111022920586,41.136557913066426,43.913731735665365
22.8,25.484043245543106,25.449939334895262,19.47178650322544,22.985511713744614,25.484043245543106,27.950873981061115,31.1791561780093,38.61,39.098423571676385,39.006202038779584,34.1123073788493,37.17851850954624,39.098423571676385,40.883746599697176,43.561121594954535
46.75,27.940078669533932,27.82669661558704,21.7189124942886,25.33257017616964,27.940078669533932,30.511481881753397,33.63065207037729,38.61,38.87944539767217,38.93950654128004,34.31215126300171,36.97431611756067,38.87944539767217,40.860553976540935,43.53486741454271
40.89,27.33779327606273,27.413242351744195,20.859997548006938,24.85467909926428,27.33779327606273,30.075871955797965,33.95552815743047,38.61,39.14946069922741,39.120564816520144,34.30225642148329,37.09725047417966,39.14946069922741,41.17519592843402,43.81460590267628
27.11,27.03059889252347,27.12755093345645,20.385274197929164,24.214901554768204,27.03059889252347,29.94736378522684,33.837065942301905,38.61,37.8066226986938,37.83357803707988,32.7275029978468,35.776105531949014,37.8066226986938,39.87353658371261,42.70610033908802
22.99,25.555584745393347,25.398553920175416,17.91557234283792,22.501065123234284,25.555584745393347,28.494386474475544,32.228483592688136,38.61,35.867947652028604,35.899910486034884,30.9833402864705,34.10262927973463,35.867947652028604,37.79146318978717,40.89059184880243
22.38,27.483566341256285,27.532599755014598,20.268946773360216,24.60998735055493,27.483566341256285,30.3967202454401,34.632532896429616,38.61,36.57977105608218,36.456086111239266,31.92205802357858,34.41817511896376,36.57977105608218,38.395755447189735,41.037934639144176
23.61,28.0512957393635,27.817140774500125,20.595784830099422,24.690497557511435,28.0512957393635,30.783874912929107,35.056696201001984,38.61,36.41411850577332,36.47802408826229,32.088722617529065,34.736630214490745,36.41411850577332,38.35386969320457,41.02524996790991
