ACE_resid,Freq_resid
-101.92995,-0.019340515
-127.1223,-0.0238266
-146.58548,-0.027709961
-129.80394,-0.025623322
-127.88865,-0.022377014
-119.57648,-0.020252228
-124.13664,-0.020263672
-86.82419,-0.022735596
-39.31441,-0.013576508
-31.62151,-0.011066437
-54.15778,-0.009361267
-52.008667,-0.008686066
-13.47665,-0.0043907166
-16.499508,-0.0031852722
-9.112316,-0.0038757324
3.6882057,0.0016746521
26.150105,0.006290436
18.633663,0.004306793
-6.8422203,-0.002521515
-23.34911,-0.006580353
-30.5219,-0.0060424805
-13.049007,-0.0034065247
-18.869518,-0.0021743774
-25.316479,-0.0049591064
-20.720158,-0.0022697449
8.570755,-0.00016784668
12.398254,0.0004386902
16.216866,0.00365448
37.770332,0.009460449
40.416138,0.010547638
39.516277,0.007129669
39.27078,0.0025291443
57.231503,0.004673004
47.939228,0.01084137
64.41466,0.0119514465
60.85667,0.015075684
53.256985,0.012935638
13.28302,0.0055389404
-13.663639,-0.002773285
-18.038654,-0.009662628
-40.100933,-0.008022308
12.307426,0.0015869141
3.6789894,-8.010864e-05
14.423901,0.0011749268
19.54269,0.0009994507
26.154154,0.0011444092
34.372364,0.002002716
27.943691,-0.0008468628
65.66001,0.0028686523
79.076904,0.00605011
90.702324,0.0068473816
52.755913,0.0063438416
71.66295,0.00825119
60.883827,0.008026123
70.40016,0.010093689
57.22536,0.00017547607
6.68869,-0.007545471
27.49144,-0.0064735413
17.40871,-0.007968903
11.812069,-0.010879517
0.548542,-0.01361084
-6.729767,-0.010353088
-10.038094,-0.005882263
-23.796402,-0.0061454773
-14.711571,0.00050354004
11.583771,0.0025596619
44.860435,0.00037765503
22.568283,-0.0011100769
48.684395,-0.0015830994
20.19104,-0.0042266846
9.944077,-0.0034255981
1.2966385,-0.004070282
-54.20865,-0.0045051575
-47.461205,-0.0037727356
-29.150406,-0.0011405945
-29.818848,0.00038146973
-5.3052444,0.0008468628
1.1909599,-0.0048217773
-9.416836,-0.009410858
-38.79068,-0.015419006
-52.443794,-0.011489868
-10.570648,-0.0024642944
38.58855,0.009338379
34.840805,0.014160156
59.162384,0.014362335
60.050133,0.0076141357
51.847145,0.0023841858
85.57716,0.002620697
96.10522,0.0050354004
79.0143,0.008991241
112.37388,0.012950897
99.440056,0.012863159
50.347466,0.00504303
53.345654,0.00020980835
62.21608,-0.0022583008
33.826,-0.012420654
-26.313393,-0.013557434
-34.21927,-0.015968323
-60.770267,-0.019348145
-101.90561,-0.01953125
-108.66588,-0.01329422
-90.953705,-0.0075645447
-97.04968,-0.013088226
-140.83304,-0.019107819
-130.53421,-0.020965576
-178.5152,-0.025180817
-188.99466,-0.025047302
-162.74036,-0.024757385
-160.51025,-0.019046783
-121.23959,-0.010677338
-111.415794,-0.008392334
-73.12357,-0.009674072
-79.46454,-0.007873535
-25.798965,-0.0059547424
-1.2476845,-0.0028457642
30.307316,-0.00062942505
37.851532,-0.0024986267
22.455437,-0.0074310303
22.796772,-0.009296417
