ACE_resid,Freq_resid
79.091125,0.025417328
66.4644,0.021564484
53.66693,0.02386856
70.79226,0.027305603
89.15311,0.034866333
78.28459,0.032051086
41.614807,0.023487091
55.302002,0.018474579
6.912979,0.009513855
-1.9374924,0.0069770813
6.732132,0.0017242432
-4.1605225,0.0057373047
-10.050339,0.0050239563
-18.106186,0.0018424988
-47.353912,-0.0011367798
-64.364075,-0.0027389526
-9.573883,0.0005645752
3.378769,-0.001789093
23.29808,0.0008087158
35.226395,-0.0020179749
24.326843,-0.0022392273
15.841629,-0.003112793
-12.367905,-0.0058059692
21.81453,-0.004875183
16.093102,-0.0027770996
15.513397,0.001121521
-1.6573944,0.0019874573
30.177284,0.0036125183
10.468201,0.0044441223
28.527641,0.0014305115
31.688042,0.0015563965
-4.6025085,-0.0038223267
-22.381485,-0.008022308
-54.141907,-0.011165619
-83.49745,-0.01171875
-72.49861,-0.009174347
-34.17534,-0.0055274963
-35.346848,-0.0020751953
-46.606613,-0.0027923584
-42.59781,-0.0025367737
-42.16806,-0.0037231445
-45.39995,-0.0044517517
-48.74626,-0.00046539307
-52.70172,-0.0024795532
-41.983047,-0.004058838
-61.110092,-0.0055160522
-54.63626,-0.0041160583
-67.624664,-0.006275177
-36.025604,-0.0050086975
-38.269745,-0.004776001
-30.895409,0.00018692017
-9.304672,0.0042304993
-11.291519,0.008926392
-17.577225,0.00951004
-8.462822,0.00856781
-33.589012,0.0016708374
-40.605484,0.0007133484
-13.143471,-0.001045227
12.0033,0.0014839172
-8.238922,0.0032806396
36.03218,0.008796692
-0.6523895,0.008800507
3.3911057,0.0067214966
-4.091873,0.008693695
8.663986,0.008831024
25.148514,0.009098053
-0.9003372,0.0085372925
3.0579796,0.0012359619
1.4597092,-0.005088806
-5.466961,-0.0059051514
-0.5335121,-0.0030212402
-18.36354,-7.6293945e-06
-13.07682,0.0054512024
-10.411072,0.009117126
44.868317,0.011024475
32.980545,0.007724762
29.5234,0.009151459
21.851803,0.011016846
20.5821,0.014328003
23.765816,0.01839447
-8.621559,0.013950348
-5.123886,0.008907318
-11.235512,0.0027427673
-25.49292,-0.00037002563
-30.049896,-0.0034866333
-27.418842,-0.004081726
8.919422,-0.0006828308
-14.207081,0.00038146973
6.496624,-0.0027427673
-56.50512,-0.008621216
-87.4025,-0.013134003
-46.422546,-0.014274597
-35.5001,-0.01569748
4.565056,-0.011493683
44.983765,-0.007835388
70.61679,-0.0023727417
75.231834,0.0011672974
43.85997,0.000705719
38.707188,0.0050582886
8.438541,0.0036849976
-16.94321,-0.0037994385
-22.638916,-0.004863739
-21.605064,-0.0079574585
-40.988926,-0.007041931
-28.31961,-0.0056419373
-31.479912,-0.009540558
-64.82606,-0.009376526
-71.6574,-0.012371063
-138.9732,-0.015247345
-175.70575,-0.016426086
-153.53879,-0.018047333
-134.70125,-0.015735626
-92.69302,-0.010158539
-71.53154,-0.008869171
-23.602978,-0.0057868958
1.0169907,-0.0018615723
4.67424,-0.0018310547
6.0929756,0.0020561218
12.359806,-0.00030136108
7.0658455,-0.0009689331
-1.9739876,0.0005378723
15.11731,-0.0015792847
-8.032997,-0.0055236816
7.781227,-0.008724213
0.017559052,-0.011676788
-16.571697,-0.012073517
-20.032177,-0.008224487
-23.638634,-0.004459381
-30.276688,-0.0052871704
-57.79814,-0.008834839
-51.33258,-0.009174347
-56.230324,-0.010124207
-58.122223,-0.012832642
-44.532143,-0.006511688
-80.97061,-0.009811401
-85.58287,-0.012996674
-101.96947,-0.01625061
-76.10343,-0.01159668
-78.1185,-0.014038086
-50.21398,-0.009426117
-23.474968,-0.004207611
-14.455858,-0.0026817322
-7.688946,-0.0025520325
4.551365,0.0011672974
1.753418,0.0031280518
0.0013084412,0.003929138
5.824894,0.0013275146
-31.076694,-0.0028190613
-71.12325,-0.0061950684
-13.526142,0.0017089844
22.005016,0.0079193115
27.452278,0.012325287
-26.38683,0.0089149475
-57.29369,0.0050697327
-50.17348,0.0039482117
-36.082703,0.005832672
-39.123283,0.009300232
-49.20365,0.007255554
-49.473557,0.0077667236
-34.949158,0.004589081
-53.73,0.0023345947
-71.31608,0.0022964478
-41.39502,0.0015869141
-17.642483,0.0018424988
-14.276234,0.0008125305
-50.291878,0.002357483
-32.10124,0.0047340393
29.192532,0.0060653687
30.83871,-0.0011825562
-17.686932,-0.0055656433
-51.99864,-0.012039185
-60.4968,-0.013710022
-34.524128,-0.013511658
-30.219845,-0.01638794
-59.464504,-0.020812988
-58.2151,-0.020881653
-33.28468,-0.014415741
-34.686253,-0.013710022
-16.90221,-0.006225586
-28.87077,-0.0033340454
-3.7122688,-0.0014266968
3.439579,0.00075912476
-45.91361,-0.00554657
-64.008804,-0.008018494
-79.8786,-0.015197754
-66.25162,-0.0142707825
-67.67059,-0.014320374
-55.976284,-0.009391785
-53.47331,-0.007335663
-19.767612,-0.003414154
5.533764,0.0005836487
-14.353504,0.0008773804
-8.565586,-0.00035476685
14.43845,-0.001914978
1.6853523,-0.0071258545
-27.649578,-0.012653351
-27.853588,-0.013881683
-22.592854,-0.016189575
-38.757374,-0.017055511
-0.20845413,-0.010391235
-11.651882,-0.006706238
-4.235462,-0.00642395
-29.132435,-0.0062713623
-35.969196,-0.0060310364
-21.013042,0.002483368
