ACE_resid,Freq_resid
-47.313225,0.0062828064
-74.629395,0.002292633
-68.09031,0.0013694763
-101.78486,-0.0012817383
-123.918,-0.002494812
-105.77014,-0.0029296875
-89.35521,-7.6293945e-06
-68.5849,0.004386902
-68.022514,0.004852295
-48.36586,0.00605011
-30.581825,0.007709503
-29.013092,0.010154724
-32.74996,0.013027191
-25.259819,0.009654999
-32.437775,0.006511688
-53.70784,0.0036506653
-38.938034,0.0008773804
-66.05267,-0.0062294006
-81.402466,-0.009414673
-123.249504,-0.015960693
-129.69272,-0.017936707
-115.046776,-0.0136528015
-117.82079,-0.009593964
-110.274124,-0.0090408325
-117.770004,-0.012107849
-101.72298,-0.011646271
-105.61326,-0.011760712
-106.099174,-0.011089325
-82.615005,-0.0044136047
-107.00954,-0.0079574585
-113.12727,-0.011650085
-121.958435,-0.014606476
-101.99277,-0.009750366
-113.101135,-0.013408661
-109.20742,-0.009376526
-77.78582,-0.0052833557
-59.43576,-0.0035324097
-64.139824,-0.0033073425
-67.40936,-0.0011520386
-78.61402,-0.0019340515
-65.971924,-0.0014228821
-66.09566,-0.005355835
-115.239426,-0.0101623535
-137.73865,-0.012470245
-108.5674,-0.0050354004
-72.10484,0.0001373291
-57.102272,0.0049972534
-95.476425,0.003791809
-133.55719,-0.0019950867
-118.4608,-0.0021820068
-87.02199,5.340576e-05
-81.81176,0.0041046143
-87.74427,0.0016403198
-83.56142,0.0043792725
-81.27461,0.0008201599
-90.836685,-0.0012435913
-99.90094,-0.0021400452
-96.25813,-0.0037078857
-86.68918,-0.0035209656
-76.2847,-0.0028305054
-96.217865,-0.0015487671
-75.88323,0.0019302368
-45.059273,0.0043563843
-66.45674,-0.0022087097
-100.068954,-0.0072135925
-119.1978,-0.014766693
-126.9631,-0.014453888
-110.275375,-0.015415192
-109.09184,-0.018482208
-130.99664,-0.024143219
-122.89139,-0.023014069
-105.43885,-0.017608643
-112.61061,-0.017280579
-94.946815,-0.009864807
-93.060135,-0.006877899
-97.103745,-0.005039215
-64.50067,-0.0011062622
-86.76301,-0.005455017
-112.10018,-0.010425568
-136.5552,-0.016532898
-127.91074,-0.017501831
-136.94327,-0.018009186
-113.158585,-0.014129639
-108.00586,-0.013023376
-91.29467,-0.01228714
-64.694695,-0.0098724365
-71.99446,-0.009292603
-77.14402,-0.011276245
-52.003036,-0.011875153
-83.49116,-0.015598297
-117.37083,-0.01939392
-99.30668,-0.020290375
-105.67627,-0.023777008
-128.78488,-0.026165009
-104.06072,-0.022937775
-98.22868,-0.019153595
-100.43907,-0.018070221
-108.10147,-0.016418457
-112.822235,-0.0156059265
-76.06555,-0.007282257
-36.822212,-0.0033302307
-48.581085,-0.0049362183
-51.645164,-0.0072364807
-74.469864,-0.010593414
-92.24342,-0.015514374
-71.27919,-0.020122528
-80.10525,-0.021903992
-75.70377,-0.019691467
-73.77969,-0.01763153
-93.32495,-0.02004242
-99.146515,-0.019744873
-97.63228,-0.020225525
-59.14269,-0.015289307
-30.796585,-0.014415741
-18.22213,-0.0103302
4.337433,-0.0014915466
16.606781,0.0024871826
24.668396,0.0045700073
53.1566,0.009605408
85.98407,0.0135269165
83.69303,0.017269135
95.78829,0.01612091
84.53467,0.012931824
57.97268,0.0032691956
49.486156,-0.00522995
26.876171,-0.008144379
34.641747,-0.007522583
15.553156,-0.0076293945
19.834524,-0.0049438477
21.22181,-0.00787735
38.501022,-0.0075302124
43.40447,-0.0031051636
65.43745,0.007972717
142.83621,0.02021408
175.26782,0.02438736
163.86067,0.024841309
162.96962,0.023929596
185.0957,0.026557922
135.16089,0.019001007
145.91771,0.015842438
139.74002,0.015865326
85.51453,0.00825119
65.579605,0.004585266
99.99238,0.005241394
88.25937,0.0046195984
59.896523,-0.001411438
75.21088,-0.0012283325
88.7068,0.0013275146
95.3359,0.0052223206
90.408295,-0.0011329651
91.7854,-0.0052223206
91.67949,-0.008243561
68.29494,-0.0128593445
75.180244,-0.011222839
81.504486,-0.007907867
83.20949,-0.0035209656
80.231186,-0.0012626648
104.523,0.0032463074
121.60263,0.0055656433
112.66524,0.004863739
106.349655,0.004901886
123.29809,0.005256653
75.932724,-0.003074646
79.88409,-0.0061035156
52.58429,-0.01084137
40.333828,-0.0137786865
55.745697,-0.013134003
68.52731,-0.012145996
67.08602,-0.014621735
84.72845,-0.011108398
106.745346,-0.0034065247
130.8494,0.004032135
150.82542,0.009777069
162.50414,0.010829926
170.09802,0.012447357
137.42923,0.008464813
129.99985,0.0072898865
121.97632,0.009002686
116.969574,0.008533478
96.75735,0.0031661987
86.61361,-0.001663208
99.85359,0.0029907227
70.87148,-0.003036499
69.67714,-0.008361816
40.974495,-0.01329422
45.282234,-0.012290955
44.953255,-0.00938797
66.51363,-0.008476257
56.049095,-0.009914398
43.99566,-0.01348114
59.184776,-0.008113861
72.64658,-0.009410858
99.47367,-0.0044441223
83.002914,-0.004005432
86.15579,-0.0021781921
102.13784,0.00076675415
105.96436,0.0020637512
118.20364,0.0034103394
118.252655,0.004009247
144.90964,0.006072998
138.84735,0.0020217896
137.77579,0.002445221
126.44953,0.00018310547
119.69473,0.0007019043
104.220795,-0.002166748
93.66907,-0.004371643
88.74668,-0.006248474
107.83832,-0.008522034
107.06034,-0.0055503845
127.88234,-8.010864e-05
146.9118,0.0034484863
167.17592,0.0038452148
175.64548,0.00258255
162.43854,-0.001461029
112.2362,-0.0052375793
95.622215,-0.008594513
101.45162,-0.008636475
108.427475,-0.007171631
115.647675,-0.003917694
105.97334,-0.001625061
99.46738,0.0022735596
151.20648,0.0071105957
159.90594,0.0083732605
182.11993,0.012161255
196.08356,0.015991211
161.38394,0.013965607
139.18318,0.0069885254
94.91682,-0.0030097961
61.75212,-0.012706757
46.935574,-0.020973206
53.267868,-0.022659302
49.482235,-0.018489838
50.434456,-0.014228821
87.29846,-0.005050659
114.048164,0.0015144348
110.493385,0.0044059753
95.60985,-5.340576e-05
89.836945,-0.0022621155
98.14482,-0.001373291
115.41773,-0.00075912476
90.382095,-0.007068634
48.86998,-0.013538361
23.704681,-0.017066956
37.10501,-0.013034821
54.408325,-0.0119018555
63.723885,-0.012870789
61.768173,-0.013473511
64.36098,-0.009914398
71.29318,-0.008277893
65.091545,-0.004398346
61.542343,-0.0024223328
47.076904,-0.0019226074
62.57644,9.918213e-05
63.892113,0.0022621155
82.16872,0.0027694702
86.2288,0.0030899048
75.371765,0.002067566
47.067505,-0.0016784668
45.531723,-0.0056152344
46.6466,-0.003692627
49.09989,-0.0046310425
47.31978,-0.0025749207
25.514175,-0.0037193298
6.010643,-0.008049011
27.924667,-0.0075798035
9.096436,-0.009689331
-17.491806,-0.016635895
-57.347145,-0.023857117
-50.068527,-0.024524689
-7.1700745,-0.01650238
-3.2799683,-0.01027298
-5.7353363,-0.0067825317
7.7360535,-0.0039520264
11.880234,-0.0027160645
25.864548,-0.0030136108
14.454987,-0.0070648193
-1.4139633,-0.012081146
2.2585907,-0.015907288
9.955254,-0.012107849
-0.6403885,-0.009113312
33.70546,-0.003894806
24.301483,-0.0034065247
30.852715,-0.00484848
5.1949005,-0.006099701
58.04129,0.0031776428
67.25497,0.008312225
83.61885,0.012836456
81.11951,0.013721466
65.286964,0.010448456
48.216705,0.0065574646
27.437607,0.0024223328
43.342163,0.0012359619
49.14656,0.007320404
73.481316,0.016105652
81.35983,0.020572662
75.409424,0.020275116
66.05914,0.02035904
57.593613,0.014102936
34.32026,0.010391235
42.994247,0.009479523
40.63971,0.009090424
68.29915,0.011070251
70.32323,0.010211945
57.511948,0.0129852295
86.5232,0.017471313
87.90581,0.016986847
61.688232,0.013412476
63.83439,0.012870789
79.089226,0.014137268
83.227585,0.01379776
70.97754,0.011482239
84.288704,0.010501862
54.036263,0.006565094
26.816956,-0.001461029
-19.929115,-0.010406494
-41.683784,-0.015865326
-69.26629,-0.020153046
-57.303986,-0.017627716
-42.10608,-0.011138916
-26.962555,-0.006336212
-27.57505,-0.0044136047
-38.636307,-0.007068634
-16.350739,-0.0032653809
7.3435516,0.004081726
49.712,0.011928558
55.954643,0.015972137
75.107155,0.018356323
72.11638,0.018859863
69.78192,0.01807785
44.421333,0.014678955
46.64984,0.017421722
29.914597,0.014228821
16.936829,0.011940002
-20.21634,0.007961273
-8.905518,0.011753082
-14.17432,0.011898041
-4.747154,0.011829376
-31.804855,0.0049324036
-46.129753,-0.0005455017
-61.750458,-0.0038146973
-85.184044,-0.007583618
-74.47055,-0.006965637
-85.06952,-0.0052719116
-80.97515,-0.0040893555
-78.635735,-0.0050315857
-64.51555,-0.0048065186
-56.389786,0.0007019043
-44.906097,0.004283905
-25.698803,0.010349274
9.473267,0.017902374
-8.26931,0.019268036
26.569237,0.024921417
40.35956,0.02438736
30.801292,0.025108337
16.207458,0.022472382
23.43515,0.024662018
51.02426,0.028644562
29.402824,0.021938324
6.3239975,0.012760162
-18.516373,0.0075416565
-19.84436,0.0066833496
-4.7185364,0.0046310425
-38.31516,0.0009651184
-45.444168,-0.0017738342
-52.22822,-0.0016098022
-73.613785,-0.0014457703
-61.77053,-0.0013160706
-57.949158,-0.000118255615
-42.96363,0.0039863586
-24.789642,0.008346558
-12.4445,0.012527466
3.5074692,0.015857697
-11.624695,0.0112838745
-34.926056,0.0071487427
-52.565727,0.006275177
-64.23621,0.00484848
-25.384766,0.010089874
-35.478073,0.008346558
-47.38612,0.008243561
-13.236328,0.011501312
11.808739,0.016952515
10.151978,0.019866943
-7.777176,0.016151428
2.8057098,0.016391754
11.1117935,0.016468048
-28.961426,0.011268616
-11.40073,0.014640808
-10.905228,0.012935638
-1.1295052,0.016475677
7.2377014,0.016471863
13.844242,0.011955261
0.07299423,0.0118255615
17.742424,0.01329422
6.0338974,0.011768341
-27.655182,0.0087509155
-16.07685,0.009380341
-12.35928,0.013282776
8.262085,0.013427734
-2.946743,0.013702393
13.806637,0.015808105
20.833275,0.0143585205
13.287098,0.015563965
26.171429,0.01846695
11.743328,0.011795044
-12.05336,0.0063934326
-5.891384,0.007823944
-13.5774765,0.004135132
-8.438637,0.0034980774
-1.1132927,0.0071258545
8.231911,0.012779236
6.789604,0.014141083
-3.630516,0.018177032
7.3608475,0.014759064
22.013283,0.012958527
5.630661,0.011268616
-1.4429398,0.007270813
-26.939507,-0.0023345947
-32.12075,-0.0017089844
6.097969,-0.0013122559
0.15280914,-0.0014915466
15.547462,-0.0006599426
6.837555,-0.0009727478
38.081802,0.0065727234
26.99649,0.004966736
52.097366,0.011425018
47.272835,0.014266968
65.04962,0.012168884
47.495285,0.012237549
24.753952,0.012203217
43.32057,0.015380859
58.42617,0.018226624
66.22478,0.017471313
75.82224,0.018791199
70.17886,0.017536163
65.472015,0.014087677
52.87115,0.010299683
41.420525,0.0077934265
9.555561,0.0023498535
-19.265099,-0.002418518
13.482178,0.0025100708
41.151207,0.009449005
56.859135,0.011672974
51.38228,0.011173248
61.182125,0.011474609
64.93943,0.011352539
84.158615,0.01373291
117.46344,0.018104553
112.69096,0.01784134
107.59971,0.019123077
103.292595,0.02130127
64.76982,0.012462616
82.43823,0.011413574
62.58581,0.008079529
77.41189,0.009315491
59.53997,0.0060539246
45.47335,0.0034675598
73.559265,0.006629944
102.4119,0.013977051
116.3309,0.019580841
117.63156,0.021877289
119.97745,0.023693085
94.18758,0.019546509
89.06265,0.01605606
57.39649,0.008926392
29.004356,0.005470276
1.1594162,0.00051498413
-2.1074677,-0.0008239746
5.8419266,-0.0042686462
-3.8444977,-0.0037155151
-25.28978,-0.0054626465
-37.119427,-0.0063819885
-62.298717,-0.00787735
-49.390976,-0.007843018
-29.570316,-0.007583618
-63.43602,-0.008422852
-50.277534,-0.0054092407
0.6435852,0.0024032593
17.383366,0.007881165
16.161728,0.011371613
22.236397,0.010414124
-13.353268,0.008804321
-21.602554,0.009155273
-13.744484,0.0059051514
6.292057,0.0066070557
-0.14077759,0.0038986206
32.265896,0.005924225
37.2623,0.008049011
16.53715,0.0039634705
28.05828,0.0015563965
25.097282,0.0029678345
12.364723,0.0022888184
7.3782043,0.0012817383
18.352177,0.0029563904
35.54836,0.0080833435
12.456318,0.004673004
17.680317,0.0045166016
2.556984,0.001083374
12.913315,-0.0050735474
27.782219,-0.005420685
3.692402,-0.0033798218
2.7828522,-0.002243042
10.980133,-0.0004119873
30.79155,0.002040863
7.928734,-0.001121521
8.690117,-0.0014533997
28.839497,0.0036811829
39.99299,0.009670258
65.61614,0.015487671
79.20642,0.016960144
70.88844,0.019966125
59.43893,0.019104004
83.49151,0.01834488
44.964943,0.013324738
76.084946,0.014545441
72.213135,0.013706207
56.61035,0.009922028
56.017006,0.009757996
53.370224,0.008136749
45.515636,0.0065193176
14.890827,0.004650116
44.18032,0.008277893
57.910545,0.009460449
85.15365,0.012447357
89.121475,0.017105103
84.31944,0.018138885
107.37711,0.019290924
122.29018,0.02355194
144.1158,0.024726868
145.30576,0.028636932
137.20187,0.026371002
131.85466,0.024692535
119.068726,0.020168304
101.32518,0.017017365
98.90735,0.019073486
