ACE_resid,Freq_resid
-112.59463,-0.027938843
-115.44232,-0.027233124
-105.2345,-0.028930664
-87.12107,-0.022911072
-43.228672,-0.014858246
-50.294052,-0.016033173
-41.249306,-0.01727295
-49.9603,-0.018291473
-15.967377,-0.016376495
-16.85482,-0.014286041
-4.1061077,-0.011619568
9.30442,-0.013336182
-2.1511288,-0.019283295
-14.033108,-0.021625519
-8.081593,-0.02046585
11.191254,-0.01675415
23.815792,-0.01612091
14.670727,-0.017108917
-9.059631,-0.024024963
1.282093,-0.02412796
27.347832,-0.019786835
36.10879,-0.019924164
65.48871,-0.016326904
63.086433,-0.01662445
62.91208,-0.014057159
44.868233,-0.016334534
34.774475,-0.014957428
28.455513,-0.015258789
58.147034,-0.014328003
78.87977,-0.013015747
77.958176,-0.014408112
95.82652,-0.006717682
96.498436,-0.0054779053
86.07367,-0.0037078857
85.656006,-0.005455017
59.695465,-0.011650085
56.28931,-0.019546509
32.697884,-0.02300644
60.2658,-0.019462585
69.696396,-0.019981384
99.847565,-0.015510559
105.73196,-0.011909485
100.00616,-0.01752472
121.41078,-0.022605896
116.98556,-0.019714355
102.73447,-0.019798279
123.233025,-0.016174316
127.68596,-0.014728546
149.75227,-0.011184692
182.15231,-0.0008010864
210.36943,0.0048980713
216.50299,0.009410858
209.92729,0.011428833
234.23283,0.012935638
193.87521,0.0037345886
147.69162,-0.00409317
95.188446,-0.014884949
64.447334,-0.014457703
36.453384,-0.021709442
23.387657,-0.023086548
5.6848373,-0.025485992
-28.67028,-0.026576996
-63.456978,-0.02904129
-62.052216,-0.029129028
-41.692436,-0.024589539
8.932106,-0.015106201
46.846077,-0.00843811
70.46239,-0.0010070801
95.740585,0.0029563904
100.7561,0.0031700134
110.63211,0.008705139
111.7197,0.007953644
114.86167,0.008720398
113.85718,0.005153656
104.84848,-0.0014724731
97.279945,-0.0015983582
88.28463,-0.0047798157
81.37803,-0.0054969788
70.07395,-0.008319855
62.119427,-0.013721466
13.484173,-0.018741608
23.651588,-0.021148682
23.22295,-0.020591736
13.03347,-0.017993927
40.229996,-0.012931824
87.03799,-0.0049095154
127.45477,0.0012702942
159.47276,0.0061187744
155.9064,0.0051651
186.02829,0.004886627
185.68666,0.005718231
174.18973,0.005393982
186.62633,0.007610321
169.61218,0.0034828186
142.04288,-0.0014228821
121.399734,-0.0069618225
92.49484,-0.011634827
75.35515,-0.014884949
63.98028,-0.016857147
48.55052,-0.018951416
62.617893,-0.017669678
35.99674,-0.022052765
-1.1547356,-0.025146484
8.707169,-0.020587921
30.486206,-0.019218445
32.32186,-0.021205902
13.500725,-0.019939423
42.52072,-0.019634247
51.816544,-0.015022278
80.38905,-0.006580353
106.749985,-0.0002822876
104.00107,0.0010414124
115.49524,0.00044631958
133.41621,0.005455017
135.25928,0.0068130493
114.43649,0.0035858154
98.33649,-0.0033874512
79.910255,-0.006614685
61.867966,-0.0115242
49.57416,-0.011714935
65.065,-0.010414124
82.79819,-0.0024719238
135.19026,0.0072898865
123.641884,0.009422302
125.84564,0.008243561
109.43358,0.0063095093
102.0365,0.0070343018
107.17349,0.0107040405
127.40726,0.016586304
131.52632,0.016483307
123.65497,0.016338348
135.38141,0.018974304
141.30492,0.020908356
152.7894,0.0184021
155.99866,0.014724731
142.73267,0.01134491
119.422195,0.007133484
118.181564,0.0058288574
117.28445,0.008522034
132.28448,0.011054993
130.83257,0.012870789
112.109825,0.010887146
101.04811,0.01083374
130.15778,0.013217926
166.67122,0.020809174
195.97021,0.025493622
201.75827,0.024627686
194.51894,0.018291473
153.87665,0.014125824
164.1481,0.015239716
165.12672,0.011726379
113.19257,0.004108429
86.16708,-0.0012588501
52.556995,-0.010387421
23.130135,-0.015602112
-1.3486137,-0.022151947
3.2814598,-0.018489838
34.90186,-0.012168884
76.4209,-0.005329132
99.07147,-0.0009918213
95.84571,-0.0038337708
108.74193,-0.0031471252
132.41954,0.0026016235
134.06682,0.0076560974
164.11404,0.009616852
150.84662,0.00869751
124.60443,0.0062217712
110.64024,-0.00012588501
81.664986,-0.00749588
74.32208,-0.010456085
57.971024,-0.015037537
43.671852,-0.013317108
86.07333,-0.00642395
75.76367,-0.0071868896
73.812546,-0.0056991577
68.49654,-0.005760193
88.70909,-0.001121521
105.486916,0.002231598
95.94503,0.0041885376
108.83562,0.0041999817
121.77081,0.0048713684
142.17346,0.004863739
149.39365,0.008464813
144.3905,0.0054016113
116.18796,0.0017280579
71.987144,-0.005355835
88.87248,-0.0032577515
96.32813,-0.00049209595
163.05962,0.011676788
192.90633,0.021209717
190.06973,0.020324707
212.99716,0.020694733
176.47243,0.015541077
178.05736,0.014862061
172.5698,0.011528015
159.04442,0.0066947937
148.22403,0.006465912
126.10507,-0.0012626648
98.98456,-0.005214691
101.22044,-0.0047302246
103.47071,-0.004310608
88.38403,-0.004016876
82.99796,-0.0038375854
87.075516,-0.0033721924
87.97055,-0.0034942627
97.1097,0.0051231384
105.948395,0.010848999
139.38034,0.01619339
154.67545,0.018169403
147.6358,0.02040863
160.59454,0.022064209
172.93198,0.02487564
162.84029,0.025817871
146.46115,0.018154144
141.99722,0.017433167
146.42287,0.014614105
130.41493,0.011016846
84.876175,0.008571625
71.49142,0.005832672
61.303375,-0.0015487671
27.051247,-0.0077438354
18.640358,-0.010105133
12.681686,-0.009605408
35.622375,-0.0079193115
59.110603,-0.00020599365
88.47343,0.0053520203
104.84405,0.0065231323
111.98177,0.009307861
100.13282,0.0065078735
98.96176,0.004917145
110.629944,0.0031585693
88.47188,0.0017433167
63.59785,-0.0067825317
70.164825,-0.011276245
44.107384,-0.014266968
53.269478,-0.014770508
75.1188,-0.010620117
55.72603,-0.0059051514
99.00161,-0.0021324158
123.61404,0.0020065308
135.12627,0.0058898926
127.21232,0.00090789795
106.41176,-0.008407593
120.24223,-0.0071105957
142.63487,-0.002796173
162.33307,0.0010490417
178.93903,0.0023078918
175.79922,0.0017127991
184.19165,0.0030708313
188.09363,0.0068855286
161.5586,0.0010147095
150.87903,-0.0017356873
171.1966,-0.002544403
172.26288,-0.0023422241
183.76694,-0.0019187927
148.624,-0.007865906
81.17674,-0.0107421875
49.041695,-0.016429901
30.617226,-0.021400452
2.7180023,-0.021595001
6.9264984,-0.024986267
30.715294,-0.022018433
24.495651,-0.019477844
47.625496,-0.0158844
54.26983,-0.0105896
68.28128,-0.004459381
61.086494,-0.0046844482
84.44765,-0.0008163452
109.556435,0.0038795471
97.92201,0.0036239624
58.743088,-0.007129669
67.81245,-0.006263733
82.64831,-0.007499695
68.72062,-0.00925827
76.547745,-0.008563995
96.40044,-0.005317688
81.25323,-0.007331848
63.925323,-0.013187408
61.82292,-0.013954163
60.95848,-0.015258789
63.299866,-0.01309967
81.26352,-0.008541107
99.29382,-0.0026435852
116.79024,-0.0011711121
152.31409,0.0030593872
150.49133,0.0032691956
153.36386,0.0030517578
153.24323,0.0016288757
120.309555,-0.004512787
136.43756,-0.0014190674
126.05612,0.0012359619
148.39221,0.005027771
129.66211,0.0079574585
156.00131,0.016132355
148.38528,0.01468277
149.6301,0.014953613
140.79813,0.015464783
161.30673,0.015075684
180.52704,0.01731491
175.00034,0.017158508
134.9622,0.013858795
132.717,0.011646271
92.03919,0.0027122498
54.169662,-0.00504303
45.959908,-0.005455017
86.30758,-0.0010986328
67.594826,-0.00064849854
38.25673,-0.0024986267
24.82022,-0.006290436
30.153008,-0.005645752
19.89663,-0.00016403198
62.76552,0.0054473877
74.28109,0.010570526
63.63199,0.011249542
67.486755,0.011295319
68.91446,0.011928558
65.40341,0.0059280396
25.550743,-0.0036582947
-12.469315,-0.014282227
-12.140549,-0.011569977
5.174095,-0.0043144226
54.185394,0.006340027
70.042175,0.010955811
74.07879,0.009864807
62.012337,0.009208679
65.069695,0.0074501038
18.011612,-0.001461029
-1.0260925,-0.005393982
-1.9770355,-0.0054855347
1.1513062,-0.0044059753
18.636993,-0.0017089844
22.041702,-0.0005302429
19.061287,0.002243042
20.811638,0.0045204163
6.9714966,0.0035743713
10.140793,0.0008621216
29.534058,0.0027542114
15.884399,0.00075531006
14.48391,-0.001045227
-4.72451,-0.0024375916
19.025314,-0.00064468384
