ACE_resid,Freq_resid
-233.1033,-0.026493073
-201.04628,-0.020130157
-222.29031,-0.019123077
-199.5548,-0.014537811
-215.5121,-0.01945877
-211.2987,-0.018512726
-207.20384,-0.0153160095
-224.60422,-0.01965332
-228.89255,-0.024009705
-270.74393,-0.03149414
-244.38298,-0.030460358
-215.24704,-0.024139404
-223.37373,-0.021663666
-208.06601,-0.019836426
-241.3465,-0.020778656
-192.84396,-0.013050079
-150.77768,0.0015830994
-147.8444,0.0027160645
-142.58133,0.0040664673
-152.41739,0.000705719
-155.57697,-0.0004310608
-157.69324,-0.00015258789
-177.23694,-0.0027427673
-189.85333,-0.0042877197
-172.7464,-0.002105713
-148.2873,0.0033416748
-119.25426,0.010528564
-134.20947,0.012767792
-124.05641,0.011287689
-152.39507,0.0080833435
-182.2095,0.00017166138
-182.7317,-0.003112793
-193.2318,-0.0018882751
-191.8331,-0.0010528564
-163.05399,0.0017318726
-175.777,-0.00012207031
-169.13026,0.0028800964
-181.39026,-0.00038146973
-194.82976,-0.006214142
-227.94289,-0.010059357
-263.47256,-0.014389038
-257.76917,-0.017749786
-266.16986,-0.019672394
-254.25093,-0.019481659
-234.69489,-0.01210022
-176.09921,-0.007331848
-189.67085,-0.008125305
-210.72897,-0.010875702
-231.25214,-0.01272583
-232.22772,-0.011127472
-212.6307,-0.006290436
-174.69287,-0.00038528442
-176.32104,0.00065231323
-185.54926,0.002445221
-193.71532,0.0007209778
-175.70427,0.0011329651
-171.75525,0.00078582764
-171.84138,-0.00017929077
-189.3179,-0.0018310547
-184.67316,-0.005050659
-172.87407,-0.00022506714
-168.4136,0.0038337708
-169.09003,-0.0006637573
-204.0581,-0.009021759
-252.51163,-0.01921463
-256.0308,-0.021705627
-229.92747,-0.017269135
-212.69025,-0.0107421875
-191.26187,-0.00447464
-181.74222,-0.0031967163
-180.30968,-0.0005378723
-175.95932,0.0035858154
-181.68895,0.0031776428
-188.65387,-0.00049972534
-200.61606,-0.001953125
-191.29633,-0.0012741089
-172.1549,0.0010795593
-180.63268,-0.0026283264
-179.94496,-0.003112793
-181.68703,0.0008163452
-188.50883,0.0015983582
-188.70724,0.00868988
-177.73279,0.010391235
-191.0786,0.0060577393
-166.50116,0.008296967
-174.03549,0.0074386597
-171.80182,0.0061073303
-184.97543,0.006095886
-182.87343,0.005794525
-201.41693,0.0024757385
-213.93991,0.002067566
-212.20662,0.00012588501
-211.15196,-0.003540039
-243.87498,-0.011379242
-261.5868,-0.018997192
-235.92096,-0.01474762
-200.00237,-0.00466156
-147.42883,0.004009247
