rt_true,da_true,load_true,rt_pred,da_pred,load_pred
24.7,35.13,2501.5923,22.9872,32.7442,2240.9314
46.53,38.61,2530.2305,22.8266,34.8974,2163.7953
21.48,38.61,2522.9375,23.2676,35.6696,2213.9729
21.83,38.61,2599.5356,23.2183,36.2689,2247.9908
22.28,38.61,2613.7983,23.1239,36.9029,2264.2186
22.8,38.61,2629.3491,24.1288,36.9381,2249.1445
46.75,38.61,2641.0947,24.1689,36.8169,2316.6535
40.89,38.61,2648.6433,24.6218,36.8535,2333.2076
27.11,38.61,2658.4636,24.5448,35.7694,2304.6242
22.99,38.61,2688.415,25.6836,36.4398,2377.7932
22.38,38.61,2689.147,24.8807,35.8566,2382.2124
23.61,38.61,2713.2314,26.944,35.456,2396.0161
23.76,38.61,2721.2854,23.4465,36.1112,2396.7724
23.76,40.33,2736.2383,24.2554,38.3017,2417.9756
24.31,40.33,2742.1128,25.0727,37.6843,2457.9399
24.78,40.33,2775.9507,26.9557,38.2174,2533.4281
28.97,40.33,2788.5295,22.2108,37.4684,2547.9171
31.17,40.33,2810.2925,28.2222,38.0414,2608.1779
31.26,40.33,2795.5557,22.8817,38.195,2663.2704
28.96,40.33,2846.5156,24.4901,36.7001,2631.9917
23.21,40.33,2838.6812,18.6709,34.7154,2577.1167
24.78,40.33,2872.6792,18.6951,35.5317,2637.1711
24.27,40.33,2887.4075,24.0871,35.0941,2650.0707
23.92,40.33,2912.6689,23.746,34.6199,2628.3208
24.85,40.33,2892.0864,18.6834,36.0654,2656.0322
36.08,41.52,2915.5029,26.8805,41.7536,2684.6685
36.65,41.52,2940.729,29.8845,39.6755,2682.3167
35.95,41.52,2982.2417,28.1324,41.3781,2802.7754
35.91,41.52,2996.8857,25.6623,42.7417,2827.6613
36.43,41.52,3038.5708,26.6871,43.3448,2808.8254
36.46,41.52,3029.8025,32.1651,44.2951,2804.9956
36.05,41.52,3071.4326,35.6423,42.0408,2822.6595
36.14,41.52,3096.2598,33.2027,41.2117,2826.6116
36.19,41.52,3120.8171,33.1731,41.7662,2866.3363
38.28,41.52,3111.4209,29.3154,43.5636,2855.9275
38.5,41.52,3159.3696,29.3524,44.0401,2853.5636
38.54,41.52,3171.5195,27.8067,44.9131,2864.3296
36.55,47.46,3187.5854,27.7375,44.4579,2873.5315
38.38,47.46,3223.3193,21.0068,42.479,2880.2143
38.35,47.46,3231.2747,18.7467,41.9674,2907.9619
38.31,47.46,3258.5337,24.0817,43.2131,2913.4373
38.32,47.46,3277.7083,27.1755,44.5159,2923.0879
38.35,47.46,3314.8997,32.7518,42.0535,2916.888
38.35,47.46,3335.4185,30.6024,43.8476,2982.4883
38.54,47.46,3378.4983,26.3154,44.1435,2973.712
