RT_price_resid,DA_price_resid,load_resid
5.015148,-6.17526,42.541004
24.926088,-1.3295319,61.310432
2.455986,-2.3289313,46.76673
-0.76373434,-0.64521074,46.480774
0.7850189,-0.1979847,52.46556
-1.5546188,-3.06146,-6.8759956
25.42314,-3.1709602,-50.071106
14.535343,2.310267,10.634499
3.7768106,1.0995126,79.47635
1.8222485,-2.3744247,25.752552
-2.753066,0.14798379,29.44114
-9.090599,-2.248438,65.19331
-5.6229806,-9.564627,34.615852
-2.3010192,-14.503626,-22.010666
0.6333494,-10.59407,-3.2123451
-10.944942,-11.923848,-51.194317
-7.9850755,-14.372656,-85.81884
-2.2877405,-7.5013714,-73.64089
-0.22853756,-8.02592,-94.969315
1.5884361,-7.747285,-33.33766
-16.478914,-12.2910385,-47.36499
-7.1052885,-7.663475,-63.06493
-9.458906,-6.881701,-33.0805
-3.8285122,-12.05928,-28.407694
-0.109871864,-14.502666,-33.42695
6.824062,-11.634862,-12.022095
4.085113,-9.0720415,32.58065
0.25177526,-2.1756935,33.42937
3.0080774,0.33011246,27.724678
5.938979,-1.1729884,40.535328
6.782761,4.539667,71.990295
-8.093599,-1.5484219,44.048115
1.9184747,-9.507969,17.542814
-2.219565,-3.324627,13.5474205
3.170341,-9.272891,-30.382053
-1.6286874,-12.551537,-28.040335
0.5472684,-8.849517,26.85093
1.8142962,-1.4845698,51.089523
6.51182,-3.0921674,70.25751
3.554916,-4.0683303,19.064095
9.194906,0.4521346,22.79524
5.486395,-2.271328,12.580805
11.816669,0.25293446,59.678047
3.683041,0.41327906,36.36126
6.8328075,-2.6007514,56.71877
7.2094355,-1.2666674,41.432133
3.7274175,2.448403,89.78786
1.2518911,-3.1092587,38.979424
1.1583405,-6.7835608,53.76587
0.80259156,-5.6571827,77.08548
2.6951203,-10.545421,43.23349
5.7408705,-7.242894,93.644104
8.590058,-7.312135,91.74534
10.869822,-6.3758664,68.687584
5.155916,-9.3136215,34.887962
3.229332,-8.830893,7.101755
2.4466238,-10.105652,5.6484222
2.4544067,-10.573021,2.1108618
3.1565685,-12.980477,4.35563
-4.5520744,-9.558538,23.516817
-4.188015,-11.052536,68.25837
-4.0402827,-14.098109,36.69939
4.721448,-8.744113,78.815994
1.7088985,-14.658213,65.31647
1.3293371,-13.580002,62.9256
-4.8249626,-11.488856,68.15013
-3.7882555,-10.750873,89.9628
-6.2882576,-10.861831,83.41212
-3.7661088,-9.836238,57.183502
-8.993404,-9.056415,65.91191
-4.073769,-8.989589,8.037088
-4.1465664,-11.178477,-15.049967
3.2379026,-10.240669,-6.04377
1.2606907,5.562358,-28.22744
6.6102943,5.4321356,3.8704453
-0.23637676,4.3867874,1.8964605
0.6352358,5.1774464,-17.713062
0.30175495,3.2825975,5.6282816
2.2384148,7.715995,-40.629063
7.1936264,7.496584,-3.4220257
5.467573,12.467106,-2.8216333
7.395338,11.670069,-9.890232
1.5646992,15.546559,-3.2523031
3.8091183,13.255512,-3.5047684
1.7067387,8.544593,-96.009415
-1.2346859,7.5020676,-128.15552
-2.1969337,8.59529,-135.49532
4.9982014,3.9366417,-117.27616
-9.092024,9.626019,-64.24679
-10.41905,2.2549381,-101.344215
0.69129753,6.386553,-42.949047
-10.158819,4.908757,-35.976456
-2.7104435,9.821397,-35.711143
9.501047,11.092863,-62.07311
-0.48873854,15.446463,-63.523148
14.715248,17.230385,-76.96329
14.128014,18.840525,-23.414743
-10.045049,15.988245,-21.555918
-18.631027,14.805779,-17.489048
-18.82344,12.414893,-23.137428
-21.649456,9.224082,-56.5378
-28.646416,10.132168,-47.868553
-31.409145,5.556045,-32.682446
-20.59767,4.9955587,-0.5298481
-17.917284,6.1335373,0.9545984
-9.994911,7.983549,74.53659
-16.809093,11.830732,110.84244
-12.04554,10.154154,126.785645
-13.949552,11.869633,84.78963
-5.2592373,3.699438,67.66085
-17.54549,-3.9940586,28.989109
-17.458351,-5.662012,31.91759
-16.635303,-2.2235436,43.729805
