rt_true,da_true,load_true,rt_pred,da_pred,load_pred
31.11,54.96,3399.7153,41.8117,26.2715,4004.0012
32.83,54.96,3358.9746,40.7644,42.3399,3951.8879
32.72,54.96,3333.4175,37.2616,41.9093,3958.0583
25.04,54.96,3322.6846,36.083,73.2066,3963.8659
32.8,54.96,3294.1057,28.9454,64.585,4069.5013
36.15,54.96,3265.1624,17.4983,94.1246,4059.5534
29.88,54.96,3251.4841,44.4827,64.0769,4076.577
29.79,54.96,3230.2683,24.071,75.0423,3959.2302
30.93,54.96,3191.0164,47.3982,59.9282,3939.1621
31.67,54.96,3167.3311,48.192,40.7762,3896.7344
36.07,54.96,3131.7573,60.1522,51.8736,3883.4404
40.79,54.96,3119.1406,75.6221,61.8601,3923.6747
36.79,40.3,3087.6011,42.5673,49.6419,3947.1328
29.86,40.3,3056.3396,28.516,73.4952,3976.4631
34.68,40.3,3035.2383,7.1883,50.2498,3829.928
33.85,40.3,3021.6572,-3.9821,62.1338,3822.5298
30.08,40.3,2995.9084,7.5147,48.6952,3742.0384
29.61,40.3,2993.4985,24.5506,52.6097,3701.5104
27.81,40.3,2972.502,30.0507,37.6958,3681.9149
25.53,40.3,2957.269,29.0549,41.7815,3659.1172
25.64,40.3,2943.145,27.9936,49.2017,3703.4558
25.69,40.3,2906.228,24.3978,65.8963,3753.2479
24.91,40.3,2900.9932,18.2017,69.2762,3651.9665
22.32,40.3,2881.2742,25.6738,55.6676,3741.8145
40.45,38.59,2885.6357,15.4039,40.4855,3619.1893
39.76,38.59,2883.21,18.9784,40.8546,3555.5031
34.84,38.59,2880.0432,19.3482,29.3326,3679.4269
33.89,38.59,2874.0679,28.7603,40.1444,3647.9427
33.89,38.59,2852.7805,28.322,38.1896,3472.1654
33.83,38.59,2831.6128,19.9673,37.4901,3586.6647
31.27,38.59,2808.6355,8.3649,60.034,3450.8209
31.15,38.59,2796.52,2.963,54.6173,3561.0874
30.0,38.59,2775.2039,20.2256,53.1494,3609.9138
29.98,38.59,2767.5674,32.2658,38.3896,3499.2651
29.59,38.59,2752.8574,28.4643,46.6298,3378.7041
27.81,38.59,2738.0645,29.3886,36.2159,3315.4828
39.58,36.67,2747.0298,29.4054,29.8818,3310.3432
35.64,36.67,2718.9731,37.1422,26.9706,3321.0562
34.95,36.67,2716.0479,47.7124,33.9591,3192.2181
35.11,36.67,2715.1721,34.8094,21.4599,3249.25
35.28,36.67,2693.7539,33.8741,33.9694,3185.0143
35.16,36.67,2724.9216,33.9868,16.0537,3063.674
34.6,36.67,2690.8145,28.1496,24.2275,3067.1552
32.5,36.67,2698.5698,55.0085,4.5953,3072.0775
32.46,36.67,2667.5942,53.5651,48.4281,3125.0334
33.74,36.67,2680.9141,40.7722,40.9898,3098.2625
34.6,36.67,2659.3657,30.5359,34.7561,2988.5811
33.64,36.67,2644.4634,42.5611,28.3092,3015.4207
33.61,35.92,2627.0408,49.171,37.4628,2924.5913
33.58,35.92,2631.2075,44.5742,31.0678,2887.6642
33.58,35.92,2648.8772,44.5702,24.5742,2985.1665
29.81,35.92,2651.2537,46.1105,9.6979,2892.4987
29.87,35.92,2672.6855,42.6865,28.7508,2879.2223
29.46,35.92,2624.4424,44.7972,32.171,2813.5502
29.95,35.92,2643.3584,42.8775,32.2911,2813.5525
29.52,35.92,2607.6331,39.6963,36.2783,2793.8098
29.49,35.92,2606.3396,31.6122,3.4879,2743.7154
29.49,35.92,2598.2302,33.4541,10.4178,2765.7866
29.4,35.92,2619.0059,40.0019,7.6642,2853.7109
28.04,35.92,2621.6714,37.4713,9.8577,2868.4373
29.43,37.89,2609.2026,41.6682,14.0269,2933.3151
30.04,37.89,2588.644,47.5727,19.5304,2900.8183
30.04,37.89,2607.3467,42.8306,25.8993,2846.557
33.64,37.89,2608.1958,32.2866,23.9243,2882.3557
33.61,37.89,2593.7227,42.4968,10.8144,2909.614
33.61,37.89,2589.0342,41.5087,6.6981,2868.0017
34.5,37.89,2587.5474,38.2166,10.944,2809.5693
33.58,37.89,2594.823,29.5059,14.0103,2742.9
34.5,37.89,2629.8345,42.1391,6.3179,2777.2714
33.61,37.89,2597.3364,44.697,4.0468,2743.1903
34.5,37.89,2613.3081,50.3848,3.5607,2709.7473
34.63,37.89,2615.908,39.8318,14.7402,2667.3567
34.41,41.13,2614.4492,42.4959,25.9879,2608.3474
36.58,41.13,2631.8467,38.3704,19.2878,2619.4912
36.65,41.13,2667.5791,43.2594,22.8847,2577.0707
37.42,41.13,2687.0125,49.1654,21.0476,2606.5551
39.25,41.13,2671.2861,37.3377,19.3465,2636.0409
39.51,41.13,2696.312,31.5549,27.58,2579.8481
39.55,41.13,2666.1787,33.5494,39.8534,2654.6777
38.0,41.13,2695.0002,42.1867,40.1814,2657.8691
38.0,41.13,2701.7446,40.7321,30.4989,2671.1091
36.27,41.13,2696.7471,36.918,36.3558,2738.9744
36.46,41.13,2694.2446,31.7472,41.0162,2782.5347
38.59,41.13,2703.6646,27.8376,41.5925,2754.5928
31.81,43.85,2725.1333,30.271,39.3069,2811.5032
39.47,43.85,2745.8848,34.1357,44.5401,2788.0348
39.58,43.85,2750.4072,23.9812,32.861,2759.392
39.69,43.85,2781.3359,26.1772,37.9332,2669.3299
39.69,43.85,2808.6992,27.1423,28.006,2683.811
39.65,43.85,2800.9307,28.5668,42.7431,2657.1608
39.65,43.85,2835.4668,32.9247,15.1021,2598.6496
40.4,43.85,2838.5967,27.17,29.958,2526.5698
40.68,43.85,2897.1287,30.2798,38.7439,2543.0113
38.73,43.85,2885.998,29.4153,34.7638,2583.3247
39.76,43.85,2885.0391,34.6036,24.3566,2643.1665
45.86,43.85,2890.9983,37.5025,29.0623,2641.997
25.01,52.8,2937.3848,37.7377,35.9074,2713.6538
34.82,52.8,2952.3213,36.5501,41.0707,2743.9397
34.85,52.8,3019.438,35.9629,32.7338,2675.9312
34.91,52.8,3028.3008,31.2841,33.4484,2679.123
38.54,52.8,3031.7517,35.8359,19.5245,2575.9818
38.42,52.8,3069.7671,36.1332,27.6849,2650.8205
38.23,52.8,3090.1147,38.755,40.6898,2684.1161
36.81,52.8,3099.396,36.1234,34.8434,2622.5411
36.81,52.8,3099.4211,32.214,32.7726,2578.1247
38.27,52.8,3109.1194,34.2694,31.9009,2602.2831
39.79,52.8,3141.6064,32.4114,52.4812,2577.4744
39.82,52.8,3133.9858,33.6898,45.1328,2660.4536
37.47,68.79,3180.4417,32.7019,35.9453,2638.9368
36.9,68.79,3203.8745,37.967,47.198,2632.177
37.45,68.79,3232.2139,40.6638,41.6745,2674.0321
39.57,68.79,3253.8433,39.1412,37.1525,2686.4727
39.75,68.79,3305.519,41.5309,43.7004,2761.9285
39.78,68.79,3310.6843,42.2844,35.3452,2672.6311
39.86,68.79,3354.7456,40.4626,33.4628,2676.4668
39.9,68.79,3368.7876,36.377,29.8921,2731.4035
39.96,68.79,3388.2363,37.8303,27.7659,2746.6432
40.04,68.79,3450.293,38.5873,33.5271,2773.906
43.48,68.79,3426.2986,39.7956,33.0451,2800.5003
43.74,68.79,3454.0825,40.0672,43.1395,2812.7359
45.26,78.38,3448.9331,37.2157,40.3034,2818.8492
47.13,78.38,3475.5645,37.9685,34.5443,2811.4119
48.49,78.38,3499.3665,42.0717,31.5295,2759.7953
48.49,78.38,3534.3359,42.1645,36.9211,2818.2454
