RT_price_resid,DA_price_resid,load_resid
-3.6102476,4.398327,1.1918945
-2.112733,4.7011375,13.774658
-5.1226225,4.0533695,1.9753418
-2.7112675,3.505474,-4.515381
-4.056204,3.3259735,-28.42627
-1.667881,3.6314812,-25.284912
-6.1018915,3.2816505,-41.451416
-4.2785206,3.1788807,-34.252686
-0.93207264,3.2863503,-0.77612305
-2.3251076,3.5071163,-7.189209
2.190401,3.8118343,-0.7375488
-5.3998146,3.554081,-20.40332
-4.935274,6.0982685,-1.9099121
-4.075596,5.9387493,5.906494
-4.893693,5.8268166,26.172607
-1.7860641,5.6709805,10.49707
-3.490839,5.5580387,19.903076
-1.0972576,4.99621,11.053711
-0.6904526,4.921917,-9.979248
-0.6955528,4.8788376,-27.274414
-2.208004,4.5291996,-43.174805
-3.7495232,4.184353,-58.366455
-6.48913,3.9283714,-62.80371
-5.671981,4.8868256,-22.310059
-7.085044,-3.437729,-44.53662
-6.848219,-4.03644,-61.4563
-4.3343296,-4.946142,-76.78076
-7.4445705,-4.676344,-68.95459
-5.0564823,-4.1142864,-58.27417
-4.53986,-3.902296,-43.033936
-0.94036865,-3.2231445,-22.086914
-0.969326,-2.7958603,21.215576
-1.0982513,-2.6899624,22.58496
-0.034488678,-2.80974,76.863525
-0.6101036,-2.5728989,71.97583
-2.1377163,-3.411255,86.5083
0.036016464,5.5099926,63.05957
-1.6798763,5.0251637,51.8916
-2.0280304,4.486923,47.736816
-2.2017097,4.1156483,46.0354
-2.2438831,3.8100758,33.44336
-1.3953972,3.723566,39.07617
-3.319727,3.5213585,29.405518
-3.8324566,3.4257965,15.363525
-0.6190853,3.607853,22.031494
-1.9984779,3.4551048,-6.1694336
-0.7254143,4.537203,25.208008
0.8252697,3.8005123,-24.643799
-5.912918,1.2948494,-5.9387207
-7.1178284,2.2799034,21.195068
-9.944458,1.0674706,-35.106934
-6.953474,0.5237007,-52.833008
-11.9534,0.22103119,-32.07617
-9.133913,0.2502365,-40.952637
-6.2348576,0.58784103,-27.236572
